case_id,fault_type,service_family,budget,rank,top1,top3,top5,avg_at_5,config
webservice1_file_move_1625371800,file_move,web,0.5,1,1,1,1,1.0,baseline
webservice1_memory_1625373179,memory,web,0.1,1,1,1,1,1.0,baseline
webservice1_memory_1625373179,memory,web,0.25,1,1,1,1,1.0,baseline
webservice1_memory_1625373179,memory,web,0.5,3,0,1,1,0.6,baseline
logservice2_memory_1625379370,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice2_memory_1625379370,memory,logging,0.25,3,0,1,1,0.6,baseline
logservice2_memory_1625379370,memory,logging,0.5,4,0,0,1,0.4,baseline
mobservice1_memory_1625379697,memory,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_memory_1625379697,memory,mobile,0.25,3,0,1,1,0.6,baseline
mobservice1_memory_1625379697,memory,mobile,0.5,5,0,0,1,0.2,baseline
webservice1_memory_1625380916,memory,web,0.1,1,1,1,1,1.0,baseline
webservice1_memory_1625380916,memory,web,0.25,3,0,1,1,0.6,baseline
webservice1_memory_1625380916,memory,web,0.5,3,0,1,1,0.6,baseline
webservice2_memory_1625381030,memory,web,0.1,1,1,1,1,1.0,baseline
webservice2_memory_1625381030,memory,web,0.25,2,0,1,1,0.8,baseline
webservice2_memory_1625381030,memory,web,0.5,2,0,1,1,0.8,baseline
mobservice1_qr_expired_1625383443,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625383443,qr_expired,mobile,0.25,2,0,1,1,0.8,baseline
mobservice1_qr_expired_1625383443,qr_expired,mobile,0.5,4,0,0,1,0.4,baseline
dbservice1_memory_1625384013,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice1_memory_1625384013,memory,database,0.25,1,1,1,1,1.0,baseline
dbservice1_memory_1625384013,memory,database,0.5,1,1,1,1,1.0,baseline
webservice2_file_move_1625386200,file_move,web,0.1,1,1,1,1,1.0,baseline
webservice2_file_move_1625386200,file_move,web,0.25,2,0,1,1,0.8,baseline
webservice2_file_move_1625386200,file_move,web,0.5,2,0,1,1,0.8,baseline
mobservice2_qr_expired_1625390816,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625390816,qr_expired,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625390816,qr_expired,mobile,0.5,1,1,1,1,1.0,baseline
logservice2_memory_1625396241,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice2_memory_1625396241,memory,logging,0.25,2,0,1,1,0.8,baseline
logservice2_memory_1625396241,memory,logging,0.5,3,0,1,1,0.6,baseline
webservice1_file_move_1625400601,file_move,web,0.1,1,1,1,1,1.0,baseline
webservice1_file_move_1625400601,file_move,web,0.25,1,1,1,1,1.0,baseline
webservice1_file_move_1625400601,file_move,web,0.5,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625409300,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625409300,qr_expired,mobile,0.25,3,0,1,1,0.6,baseline
mobservice1_qr_expired_1625409300,qr_expired,mobile,0.5,5,0,0,1,0.2,baseline
dbservice1_memory_1625411468,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice1_memory_1625411468,memory,database,0.25,1,1,1,1,1.0,baseline
dbservice1_memory_1625411468,memory,database,0.5,1,1,1,1,1.0,baseline
webservice1_memory_1625415630,memory,web,0.1,1,1,1,1,1.0,baseline
webservice1_memory_1625415630,memory,web,0.25,2,0,1,1,0.8,baseline
webservice1_memory_1625415630,memory,web,0.5,4,0,0,1,0.4,baseline
webservice2_memory_1625418006,memory,web,0.1,1,1,1,1,1.0,baseline
webservice2_memory_1625418006,memory,web,0.25,1,1,1,1,1.0,baseline
webservice2_memory_1625418006,memory,web,0.5,2,0,1,1,0.8,baseline
dbservice1_memory_1625418705,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice1_memory_1625418705,memory,database,0.25,1,1,1,1,1.0,baseline
dbservice1_memory_1625418705,memory,database,0.5,1,1,1,1,1.0,baseline
redisservice1_memory_1625420467,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice1_memory_1625420467,memory,cache,0.25,3,0,1,1,0.6,baseline
redisservice1_memory_1625420467,memory,cache,0.5,5,0,0,1,0.2,baseline
logservice2_memory_1625421899,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice2_memory_1625421899,memory,logging,0.25,3,0,1,1,0.6,baseline
logservice2_memory_1625421899,memory,logging,0.5,4,0,0,1,0.4,baseline
webservice2_memory_1625424557,memory,web,0.1,1,1,1,1,1.0,baseline
webservice2_memory_1625424557,memory,web,0.25,2,0,1,1,0.8,baseline
webservice2_memory_1625424557,memory,web,0.5,2,0,1,1,0.8,baseline
mobservice2_qr_expired_1625425284,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625425284,qr_expired,mobile,0.25,2,0,1,1,0.8,baseline
mobservice2_qr_expired_1625425284,qr_expired,mobile,0.5,2,0,1,1,0.8,baseline
logservice2_memory_1625425518,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice2_memory_1625425518,memory,logging,0.25,3,0,1,1,0.6,baseline
logservice2_memory_1625425518,memory,logging,0.5,4,0,0,1,0.4,baseline
mobservice1_qr_expired_1625436871,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625436871,qr_expired,mobile,0.25,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625436871,qr_expired,mobile,0.5,1,1,1,1,1.0,baseline
logservice1_memory_1625437325,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice1_memory_1625437325,memory,logging,0.25,2,0,1,1,0.8,baseline
logservice1_memory_1625437325,memory,logging,0.5,3,0,1,1,0.6,baseline
redisservice1_memory_1625453062,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice1_memory_1625453062,memory,cache,0.25,2,0,1,1,0.8,baseline
redisservice1_memory_1625453062,memory,cache,0.5,4,0,0,1,0.4,baseline
mobservice2_qr_expired_1625455022,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625455022,qr_expired,mobile,0.25,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625455022,qr_expired,mobile,0.5,1,1,1,1,1.0,baseline
logservice1_memory_1625455375,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice1_memory_1625455375,memory,logging,0.25,3,0,1,1,0.6,baseline
logservice1_memory_1625455375,memory,logging,0.5,5,0,0,1,0.2,baseline
dbservice2_memory_1625459089,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice2_memory_1625459089,memory,database,0.25,3,0,1,1,0.6,baseline
dbservice2_memory_1625459089,memory,database,0.5,3,0,1,1,0.6,baseline
dbservice2_memory_1625463515,memory,database,0.1,1,1,1,1,1.0,baseline
dbservice2_memory_1625463515,memory,database,0.25,3,0,1,1,0.6,baseline
dbservice2_memory_1625463515,memory,database,0.5,2,0,1,1,0.8,baseline
logservice2_memory_1625469878,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice2_memory_1625469878,memory,logging,0.25,1,1,1,1,1.0,baseline
logservice2_memory_1625469878,memory,logging,0.5,4,0,0,1,0.4,baseline
mobservice1_qr_expired_1625473216,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625473216,qr_expired,mobile,0.25,3,0,1,1,0.6,baseline
mobservice1_qr_expired_1625473216,qr_expired,mobile,0.5,4,0,0,1,0.4,baseline
redisservice1_memory_1625473678,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice1_memory_1625473678,memory,cache,0.25,1,1,1,1,1.0,baseline
redisservice1_memory_1625473678,memory,cache,0.5,2,0,1,1,0.8,baseline
logservice1_memory_1625474243,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice1_memory_1625474243,memory,logging,0.25,2,0,1,1,0.8,baseline
logservice1_memory_1625474243,memory,logging,0.5,3,0,1,1,0.6,baseline
logservice2_memory_1625483091,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice2_memory_1625483091,memory,logging,0.25,1,1,1,1,1.0,baseline
logservice2_memory_1625483091,memory,logging,0.5,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625489299,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice2_qr_expired_1625489299,qr_expired,mobile,0.25,2,0,1,1,0.8,baseline
mobservice2_qr_expired_1625489299,qr_expired,mobile,0.5,2,0,1,1,0.8,baseline
redisservice2_memory_1625493529,memory,cache,0.1,1,1,1,1,1.0,baseline
redisservice2_memory_1625493529,memory,cache,0.25,1,1,1,1,1.0,baseline
redisservice2_memory_1625493529,memory,cache,0.5,3,0,1,1,0.6,baseline
logservice1_memory_1625493602,memory,logging,0.1,1,1,1,1,1.0,baseline
logservice1_memory_1625493602,memory,logging,0.25,1,1,1,1,1.0,baseline
logservice1_memory_1625493602,memory,logging,0.5,2,0,1,1,0.8,baseline
webservice2_file_move_1625501400,file_move,web,0.1,1,1,1,1,1.0,baseline
webservice2_file_move_1625501400,file_move,web,0.25,2,0,1,1,0.8,baseline
webservice2_file_move_1625501400,file_move,web,0.5,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625505879,qr_expired,mobile,0.1,1,1,1,1,1.0,baseline
mobservice1_qr_expired_1625505879,qr_expired,mobile,0.25,1,1,1,1,1.0,baseline
