dataset,service,fault,instance,budget,top1,top3,top5,avg5,full_trace_count,full_anomalous_trace_count,kept_trace_count,kept_anomalous_trace_count,top5_services
RE2-OB,emailservice,disk,1,0.1,0.0,1.0,1.0,0.8,23535,11729,12979,1173,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'paymentservice']"
RE2-OB,emailservice,disk,1,0.25,0.0,1.0,1.0,0.8,23535,11729,14738,2932,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'paymentservice']"
RE2-OB,emailservice,disk,1,0.5,0.0,1.0,1.0,0.8,23535,11729,17670,5864,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,emailservice,disk,1,1.0,0.0,1.0,1.0,0.8,23535,11729,23535,11729,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,emailservice,disk,2,0.1,0.0,1.0,1.0,0.6,24906,12533,13626,1253,"['checkoutservice', 'frontendservice', 'emailservice', 'paymentservice', 'currencyservice']"
RE2-OB,emailservice,disk,2,0.25,0.0,1.0,1.0,0.6,24906,12533,15506,3133,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,emailservice,disk,2,0.5,0.0,1.0,1.0,0.6,24906,12533,18639,6266,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,emailservice,disk,2,1.0,0.0,1.0,1.0,0.6,24906,12533,24906,12533,"['checkoutservice', 'frontendservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,emailservice,disk,3,0.1,0.0,1.0,1.0,0.8,22533,10127,13419,1013,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'paymentservice']"
RE2-OB,emailservice,disk,3,0.25,0.0,1.0,1.0,0.8,22533,10127,14938,2532,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'recommendationservice']"
RE2-OB,emailservice,disk,3,0.5,0.0,1.0,1.0,0.8,22533,10127,17470,5064,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'recommendationservice']"
RE2-OB,emailservice,disk,3,1.0,0.0,1.0,1.0,0.8,22533,10127,22533,10127,"['checkoutservice', 'emailservice', 'frontendservice', 'currencyservice', 'recommendationservice']"
RE2-OB,productcatalogservice,disk,1,0.1,0.0,0.0,1.0,0.4,23493,11706,12958,1171,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,disk,1,0.25,0.0,0.0,1.0,0.4,23493,11706,14713,2926,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,disk,1,0.5,0.0,0.0,1.0,0.4,23493,11706,17640,5853,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,disk,1,1.0,0.0,0.0,1.0,0.4,23493,11706,23493,11706,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,disk,2,0.1,0.0,0.0,1.0,0.4,24437,11831,13789,1183,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,disk,2,0.25,0.0,0.0,1.0,0.4,24437,11831,15564,2958,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,disk,2,0.5,0.0,0.0,1.0,0.4,24437,11831,18522,5916,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,disk,2,1.0,0.0,0.0,1.0,0.4,24437,11831,24437,11831,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,disk,3,0.1,0.0,0.0,1.0,0.4,24420,12093,13536,1209,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,disk,3,0.25,0.0,0.0,1.0,0.4,24420,12093,15350,3023,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,disk,3,0.5,0.0,0.0,1.0,0.4,24420,12093,18373,6046,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,disk,3,1.0,0.0,0.0,1.0,0.4,24420,12093,24420,12093,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,recommendationservice,disk,1,0.1,0.0,1.0,1.0,0.8,23786,11752,13209,1175,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'checkoutservice']"
RE2-OB,recommendationservice,disk,1,0.25,0.0,1.0,1.0,0.8,23786,11752,14972,2938,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,disk,1,0.5,0.0,1.0,1.0,0.8,23786,11752,17910,5876,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,disk,1,1.0,0.0,1.0,1.0,0.8,23786,11752,23786,11752,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,disk,2,0.1,0.0,1.0,1.0,0.8,24660,12193,13686,1219,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,disk,2,0.25,0.0,1.0,1.0,0.8,24660,12193,15515,3048,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,recommendationservice,disk,2,0.5,0.0,1.0,1.0,0.8,24660,12193,18563,6096,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,disk,2,1.0,0.0,1.0,1.0,0.8,24660,12193,24660,12193,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,disk,3,0.1,0.0,1.0,1.0,0.8,24884,12468,13663,1247,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'checkoutservice']"
RE2-OB,recommendationservice,disk,3,0.25,0.0,1.0,1.0,0.8,24884,12468,15533,3117,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'checkoutservice']"
RE2-OB,recommendationservice,disk,3,0.5,0.0,1.0,1.0,0.8,24884,12468,18650,6234,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,recommendationservice,disk,3,1.0,0.0,1.0,1.0,0.8,24884,12468,24884,12468,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'paymentservice']"
RE2-OB,checkoutservice,loss,1,0.1,1.0,1.0,1.0,1.0,23471,11312,13290,1131,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,loss,1,0.25,1.0,1.0,1.0,1.0,23471,11312,14987,2828,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,loss,1,0.5,1.0,1.0,1.0,1.0,23471,11312,17815,5656,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,loss,1,1.0,1.0,1.0,1.0,1.0,23471,11312,23471,11312,"['checkoutservice', 'frontendservice', 'currencyservice', 'emailservice', 'productcatalogservice']"
RE2-OB,checkoutservice,loss,2,0.1,1.0,1.0,1.0,1.0,24557,12244,13537,1224,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,loss,2,0.25,0.0,1.0,1.0,0.8,24557,12244,15374,3061,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,loss,2,0.5,1.0,1.0,1.0,1.0,24557,12244,18435,6122,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,loss,2,1.0,0.0,1.0,1.0,0.8,24557,12244,24557,12244,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'emailservice']"
RE2-OB,checkoutservice,loss,3,0.1,0.0,1.0,1.0,0.8,24469,12031,13641,1203,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,loss,3,0.25,0.0,1.0,1.0,0.8,24469,12031,15446,3008,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'emailservice', 'currencyservice']"
RE2-OB,checkoutservice,loss,3,0.5,0.0,1.0,1.0,0.8,24469,12031,18454,6016,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'emailservice', 'currencyservice']"
RE2-OB,checkoutservice,loss,3,1.0,0.0,1.0,1.0,0.8,24469,12031,24469,12031,"['frontendservice', 'checkoutservice', 'emailservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,currencyservice,loss,1,0.1,0.0,0.0,1.0,0.4,20599,8443,13000,844,"['frontendservice', 'checkoutservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,loss,1,0.25,0.0,0.0,1.0,0.4,20599,8443,14267,2111,"['frontendservice', 'checkoutservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,loss,1,0.5,0.0,0.0,1.0,0.4,20599,8443,16378,4222,"['frontendservice', 'checkoutservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,loss,1,1.0,0.0,0.0,1.0,0.4,20599,8443,20599,8443,"['frontendservice', 'checkoutservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,loss,2,0.1,0.0,0.0,1.0,0.2,22493,9811,13663,981,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,currencyservice,loss,2,0.25,0.0,0.0,1.0,0.2,22493,9811,15135,2453,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,currencyservice,loss,2,0.5,0.0,0.0,1.0,0.2,22493,9811,17588,4906,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,currencyservice,loss,2,1.0,0.0,0.0,1.0,0.2,22493,9811,22493,9811,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,currencyservice,loss,3,0.1,0.0,0.0,1.0,0.2,21869,9530,13292,953,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,currencyservice,loss,3,0.25,0.0,0.0,1.0,0.2,21869,9530,14721,2382,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,currencyservice,loss,3,0.5,0.0,0.0,1.0,0.2,21869,9530,17104,4765,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,currencyservice,loss,3,1.0,0.0,0.0,1.0,0.2,21869,9530,21869,9530,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,emailservice,loss,1,0.1,0.0,0.0,0.0,0.0,23539,11677,13030,1168,"['checkoutservice', 'frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,emailservice,loss,1,0.25,0.0,0.0,0.0,0.0,23539,11677,14781,2919,"['checkoutservice', 'frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,emailservice,loss,1,0.5,0.0,0.0,0.0,0.0,23539,11677,17700,5838,"['checkoutservice', 'frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,emailservice,loss,1,1.0,0.0,0.0,0.0,0.0,23539,11677,23539,11677,"['checkoutservice', 'frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,emailservice,loss,2,0.1,0.0,0.0,0.0,0.0,24745,12382,13601,1238,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,emailservice,loss,2,0.25,0.0,0.0,0.0,0.0,24745,12382,15459,3096,"['checkoutservice', 'frontendservice', 'currencyservice', 'recommendationservice', 'productcatalogservice']"
RE2-OB,emailservice,loss,2,0.5,0.0,0.0,0.0,0.0,24745,12382,18554,6191,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,emailservice,loss,2,1.0,0.0,0.0,0.0,0.0,24745,12382,24745,12382,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,emailservice,loss,3,0.1,0.0,1.0,1.0,0.6,24554,12199,13575,1220,"['frontendservice', 'checkoutservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,emailservice,loss,3,0.25,0.0,1.0,1.0,0.6,24554,12199,15405,3050,"['frontendservice', 'checkoutservice', 'emailservice', 'recommendationservice', 'currencyservice']"
RE2-OB,emailservice,loss,3,0.5,0.0,1.0,1.0,0.6,24554,12199,18455,6100,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,emailservice,loss,3,1.0,0.0,1.0,1.0,0.6,24554,12199,24554,12199,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'recommendationservice']"
RE2-OB,productcatalogservice,loss,1,0.1,0.0,0.0,1.0,0.4,17167,5343,12358,534,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,loss,1,0.25,0.0,0.0,1.0,0.2,17167,5343,13160,1336,"['frontendservice', 'recommendationservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,productcatalogservice,loss,1,0.5,0.0,0.0,1.0,0.2,17167,5343,14496,2672,"['frontendservice', 'recommendationservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,productcatalogservice,loss,1,1.0,0.0,0.0,1.0,0.2,17167,5343,17167,5343,"['frontendservice', 'recommendationservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,productcatalogservice,loss,2,0.1,0.0,0.0,1.0,0.4,17364,5007,12858,501,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,loss,2,0.25,0.0,0.0,1.0,0.4,17364,5007,13609,1252,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,loss,2,0.5,0.0,0.0,1.0,0.4,17364,5007,14861,2504,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,loss,2,1.0,0.0,0.0,1.0,0.4,17364,5007,17364,5007,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,loss,3,0.1,0.0,0.0,1.0,0.4,21000,8435,13409,844,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,loss,3,0.25,0.0,0.0,1.0,0.4,21000,8435,14674,2109,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,loss,3,0.5,0.0,0.0,1.0,0.4,21000,8435,16783,4218,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,loss,3,1.0,0.0,0.0,1.0,0.4,21000,8435,21000,8435,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,recommendationservice,loss,1,0.1,0.0,1.0,1.0,0.8,21470,9729,12714,973,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'checkoutservice']"
RE2-OB,recommendationservice,loss,1,0.25,0.0,1.0,1.0,0.8,21470,9729,14173,2432,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,loss,1,0.5,0.0,1.0,1.0,0.8,21470,9729,16605,4864,"['frontendservice', 'recommendationservice', 'currencyservice', 'checkoutservice', 'productcatalogservice']"
RE2-OB,recommendationservice,loss,1,1.0,0.0,1.0,1.0,0.8,21470,9729,21470,9729,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'checkoutservice']"
RE2-OB,recommendationservice,loss,2,0.1,0.0,1.0,1.0,0.8,23300,10921,13471,1092,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,loss,2,0.25,0.0,1.0,1.0,0.8,23300,10921,15109,2730,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,loss,2,0.5,0.0,1.0,1.0,0.8,23300,10921,17839,5460,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,loss,2,1.0,0.0,1.0,1.0,0.8,23300,10921,23300,10921,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'currencyservice', 'checkoutservice']"
RE2-OB,recommendationservice,loss,3,0.1,0.0,1.0,1.0,0.8,23093,10731,13435,1073,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'checkoutservice', 'currencyservice']"
RE2-OB,recommendationservice,loss,3,0.25,0.0,1.0,1.0,0.8,23093,10731,15045,2683,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'checkoutservice', 'currencyservice']"
RE2-OB,recommendationservice,loss,3,0.5,0.0,1.0,1.0,0.8,23093,10731,17728,5366,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'checkoutservice', 'currencyservice']"
RE2-OB,recommendationservice,loss,3,1.0,0.0,1.0,1.0,0.8,23093,10731,23093,10731,"['frontendservice', 'recommendationservice', 'productcatalogservice', 'checkoutservice', 'currencyservice']"
RE2-OB,checkoutservice,mem,1,0.1,0.0,1.0,1.0,0.8,24772,12308,13695,1231,"['frontendservice', 'checkoutservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,mem,1,0.25,0.0,1.0,1.0,0.8,24772,12308,15541,3077,"['frontendservice', 'checkoutservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,mem,1,0.5,0.0,1.0,1.0,0.8,24772,12308,18618,6154,"['frontendservice', 'checkoutservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,mem,1,1.0,0.0,1.0,1.0,0.8,24772,12308,24772,12308,"['frontendservice', 'checkoutservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,checkoutservice,mem,2,0.1,1.0,1.0,1.0,1.0,19991,7604,13147,760,"['checkoutservice', 'frontendservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,mem,2,0.25,0.0,1.0,1.0,0.8,19991,7604,14288,1901,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'emailservice', 'currencyservice']"
RE2-OB,checkoutservice,mem,2,0.5,0.0,1.0,1.0,0.8,19991,7604,16189,3802,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,mem,2,1.0,0.0,1.0,1.0,0.8,19991,7604,19991,7604,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'emailservice']"
RE2-OB,checkoutservice,mem,3,0.1,1.0,1.0,1.0,1.0,24716,12263,13679,1226,"['checkoutservice', 'frontendservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,checkoutservice,mem,3,0.25,1.0,1.0,1.0,1.0,24716,12263,15519,3066,"['checkoutservice', 'frontendservice', 'productcatalogservice', 'currencyservice', 'recommendationservice']"
RE2-OB,checkoutservice,mem,3,0.5,0.0,1.0,1.0,0.8,24716,12263,18585,6132,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'recommendationservice']"
RE2-OB,checkoutservice,mem,3,1.0,0.0,1.0,1.0,0.8,24716,12263,24716,12263,"['frontendservice', 'checkoutservice', 'productcatalogservice', 'currencyservice', 'paymentservice']"
RE2-OB,currencyservice,mem,1,0.1,0.0,0.0,1.0,0.4,23168,10882,13374,1088,"['frontendservice', 'recommendationservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,mem,1,0.25,0.0,0.0,1.0,0.4,23168,10882,15006,2720,"['frontendservice', 'recommendationservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,mem,1,0.5,0.0,0.0,1.0,0.4,23168,10882,17727,5441,"['frontendservice', 'recommendationservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,mem,1,1.0,0.0,0.0,1.0,0.4,23168,10882,23168,10882,"['frontendservice', 'recommendationservice', 'checkoutservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,mem,2,0.1,0.0,0.0,1.0,0.4,23636,11394,13381,1139,"['frontendservice', 'checkoutservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,mem,2,0.25,0.0,0.0,1.0,0.4,23636,11394,15090,2848,"['frontendservice', 'checkoutservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,mem,2,0.5,0.0,0.0,1.0,0.4,23636,11394,17939,5697,"['frontendservice', 'checkoutservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,mem,2,1.0,0.0,0.0,1.0,0.4,23636,11394,23636,11394,"['frontendservice', 'checkoutservice', 'recommendationservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,currencyservice,mem,3,0.1,0.0,1.0,1.0,0.6,23580,11150,13545,1115,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,mem,3,0.25,0.0,1.0,1.0,0.6,23580,11150,15218,2788,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,mem,3,0.5,0.0,1.0,1.0,0.6,23580,11150,18005,5575,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,currencyservice,mem,3,1.0,0.0,1.0,1.0,0.6,23580,11150,23580,11150,"['frontendservice', 'checkoutservice', 'currencyservice', 'productcatalogservice', 'recommendationservice']"
RE2-OB,emailservice,mem,1,0.1,0.0,1.0,1.0,0.6,24544,12182,13580,1218,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'productcatalogservice']"
RE2-OB,emailservice,mem,1,0.25,0.0,1.0,1.0,0.6,24544,12182,15408,3046,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'recommendationservice']"
RE2-OB,emailservice,mem,1,0.5,0.0,1.0,1.0,0.6,24544,12182,18453,6091,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'recommendationservice']"
RE2-OB,emailservice,mem,1,1.0,0.0,1.0,1.0,0.6,24544,12182,24544,12182,"['checkoutservice', 'frontendservice', 'emailservice', 'currencyservice', 'recommendationservice']"
RE2-OB,emailservice,mem,2,0.1,0.0,0.0,1.0,0.4,24620,12301,13549,1230,"['checkoutservice', 'frontendservice', 'recommendationservice', 'emailservice', 'currencyservice']"
RE2-OB,emailservice,mem,2,0.25,0.0,0.0,1.0,0.4,24620,12301,15394,3075,"['checkoutservice', 'frontendservice', 'recommendationservice', 'emailservice', 'productcatalogservice']"
RE2-OB,emailservice,mem,2,0.5,0.0,0.0,1.0,0.4,24620,12301,18469,6150,"['checkoutservice', 'frontendservice', 'recommendationservice', 'emailservice', 'currencyservice']"
RE2-OB,emailservice,mem,2,1.0,0.0,0.0,1.0,0.4,24620,12301,24620,12301,"['checkoutservice', 'frontendservice', 'recommendationservice', 'emailservice', 'currencyservice']"
RE2-OB,emailservice,mem,3,0.1,0.0,0.0,0.0,0.0,24367,12138,13443,1214,"['frontendservice', 'checkoutservice', 'recommendationservice', 'paymentservice', 'productcatalogservice']"
RE2-OB,emailservice,mem,3,0.25,0.0,0.0,1.0,0.4,24367,12138,15263,3034,"['checkoutservice', 'frontendservice', 'recommendationservice', 'emailservice', 'productcatalogservice']"
RE2-OB,emailservice,mem,3,0.5,0.0,0.0,1.0,0.4,24367,12138,18298,6069,"['checkoutservice', 'frontendservice', 'recommendationservice', 'emailservice', 'productcatalogservice']"
RE2-OB,emailservice,mem,3,1.0,0.0,0.0,1.0,0.4,24367,12138,24367,12138,"['checkoutservice', 'frontendservice', 'recommendationservice', 'emailservice', 'productcatalogservice']"
RE2-OB,productcatalogservice,mem,1,0.1,0.0,0.0,1.0,0.4,19936,8072,12671,807,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,mem,1,0.25,0.0,0.0,1.0,0.4,19936,8072,13882,2018,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,mem,1,0.5,0.0,0.0,1.0,0.4,19936,8072,15900,4036,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,mem,1,1.0,0.0,0.0,1.0,0.4,19936,8072,19936,8072,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,mem,2,0.1,0.0,0.0,1.0,0.4,20277,9463,11760,946,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,mem,2,0.25,0.0,0.0,1.0,0.4,20277,9463,13180,2366,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,mem,2,0.5,0.0,0.0,1.0,0.4,20277,9463,15546,4732,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,mem,2,1.0,0.0,0.0,1.0,0.4,20277,9463,20277,9463,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,mem,3,0.1,0.0,0.0,1.0,0.4,17363,4931,12925,493,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,mem,3,0.25,0.0,0.0,1.0,0.4,17363,4931,13665,1233,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,mem,3,0.5,0.0,0.0,1.0,0.4,17363,4931,14898,2466,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,productcatalogservice,mem,3,1.0,0.0,0.0,1.0,0.4,17363,4931,17363,4931,"['frontendservice', 'recommendationservice', 'checkoutservice', 'productcatalogservice', 'currencyservice']"
RE2-OB,recommendationservice,mem,1,0.1,0.0,1.0,1.0,0.8,24159,11808,13532,1181,"['frontendservice', 'recommendationservice', 'currencyservice', 'productcatalogservice', 'checkoutservice']"
